DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
262,EDWARD RIVER,3276443,NORMAL,"",,368,"DAHWILLY RD","DENILIQUIN",2710,"3/270015 1/1097053",RU1,172.34,H,01/07/2018,313000,14A(1),6A(3),01/07/2017,241000,14A(1),6A(3),01/07/2016,230200,14A(1),6A(3),01/07/2015,223500,14A(1),6A(3),01/07/2014,217000,14A(1),6A(3),
262,EDWARD RIVER,2868219,NORMAL,"",,220,"FINLEY RD","DENILIQUIN",2710,"261/1035189",R1,595.5,M,01/07/2018,23200,14A(1),6A(1),01/07/2017,21100,14A(1),6A(1),01/07/2016,21100,14A(1),6A(1),01/07/2015,20500,14A(1),6A(1),01/07/2014,19900,14A(1),6A(1),
262,EDWARD RIVER,2868220,NORMAL,"",,174,"QUARRY ST","DENILIQUIN",2710,"262/1035189",R1,1132,M,01/07/2018,45000,14A(1),6A(1),01/07/2017,37400,14A(1),6A(1),01/07/2016,37400,14A(1),6A(1),01/07/2015,36300,14A(1),6A(1),01/07/2014,35200,14A(1),6A(1),
262,EDWARD RIVER,2882566,NORMAL,"",,,"BIRGANBIGIL RD PH COOLAGALI","BIRGANBIGIL",2710,"1/130697 46, 47, 48/756301",RU1,306.2,H,01/07/2018,448000,14A(1),6A(3),01/07/2017,345000,14A(1),6A(3),01/07/2016,314500,14A(1),6A(3),01/07/2015,302400,14A(1),6A(3),01/07/2014,288000,14A(1),6A(3),
262,EDWARD RIVER,2882567,NORMAL,"",,131,"BIRGANBIGIL RD","WARRAGOON",2710,"161, 162, 163/135490 60/756269",RU1,252.68,H,01/07/2018,400000,14A(1),6A(3),01/07/2017,308000,14A(1),6A(3),01/07/2016,280700,14A(1),6A(3),01/07/2015,269900,14A(1),6A(3),01/07/2014,257000,14A(1),6A(3),
262,EDWARD RIVER,2889287,NORMAL,"",,121-129,"END ST","DENILIQUIN",2710,"B/160777 1/985997 11, 12, 13/1084482",B2,1832.4,M,01/07/2018,104000,14A(1),6A(1),01/07/2017,95100,14A(1),6A(1),01/07/2016,92400,14A(1),6A(1),01/07/2015,89700,14A(1),6A(1),01/07/2014,89700,14A(1),6A(1),
262,EDWARD RIVER,2886524,NORMAL,"",,338,"HARFLEUR ST","DENILIQUIN",2710,"51/1037532",R1,1122,M,01/07/2018,91300,14A(1),6A(1),01/07/2017,85400,14A(1),6A(1),01/07/2016,83800,14A(1),6A(1),01/07/2015,81400,14A(1),6A(1),01/07/2014,79000,14A(1),6A(1),
262,EDWARD RIVER,2886525,NORMAL,"",,6,"WATSON CT","DENILIQUIN",2710,"52/1037532",R1,693.8,M,01/07/2018,69400,14A(1),6A(1),01/07/2017,64900,14A(1),6A(1),01/07/2016,63700,14A(1),6A(1),01/07/2015,61800,14A(1),6A(1),01/07/2014,60000,14A(1),6A(1),
262,EDWARD RIVER,2866250,NORMAL,"PH CURRABUNGANUNG",,,"HARTWOOD RD","MAYRUNG",2710,"1, 2/1014445",RU1,16.55,H,01/07/2018,5940,14A(1),6A(1),01/07/2017,5400,14A(1),6A(1),01/07/2016,5400,14A(1),6A(1),01/07/2015,5400,14A(1),6A(1),01/07/2014,5400,14A(1),6A(1),
262,EDWARD RIVER,2872222,NORMAL,"",,133,"HATTWELL RD","DENILIQUIN",2710,"42/756310",RU1,105.6,H,01/07/2018,224000,14A(1),6A(3),01/07/2017,173000,14A(1),6A(3),01/07/2016,165500,14A(1),6A(3),01/07/2015,160700,14A(1),6A(3),01/07/2014,156000,14A(1),6A(3),
